id,tag,source,as_of
c1839,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c1847,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c1917,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c1920,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c1949,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c1951,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c2263,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c2606,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c2607,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c2632,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c2651,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c2667,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
c2667,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c2674,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c2675,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c2677,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c2681,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c2682,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c2735,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c2752,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c2760,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c2848,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c2889,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c2893,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c2894,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c2899,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c2917,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c2966,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c3062,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c3083,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c3124,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c3134,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c3181,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c3185,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c3204,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c3300,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c3408,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
