name,sector,source,as_of
(주) 크라센,도매 및 소매업|출판업|교육 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 타이밍,그 밖의 기계 및 장비 제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 태경주방,,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 태영엘에스,도매 및 소매업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 태영종합건설,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 토탈커뮤니케이션즈,사업 지원 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 투어114,예술 스포츠 및 여가 관련 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 트라이캣,출판 영상 방송통신 및 정보서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 티알에스,제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 하스앤코,컴퓨터 프로그래밍 시스템 통합 및 관리업|교육 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 한국커리어,교육 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 한덕 씨앤에스,,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 한성피앤아이,인쇄 및 기록매체 복제업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 화봉전기,도매 및 소매업|제조업|고무 및 플라스틱제품 제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)1.2.3데코레이션,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)1시간청소,사업시설 관리 사업 지원 및 임대 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)A.F.T,제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)D&P 프라자,인쇄 및 기록매체 복제업|출판 영상 방송통신 및 정보서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)E.O.S,의료 정밀 광학기기 및 시계 제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)ECS,그 밖의 모든 업종,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)EV첨단소재,제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)HB기획,제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)HNHGROUP,도매 및 소매업|제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)JSF Korea,전자 부품 컴퓨터 영상 음향 및 통신장비 제조업|정보통신업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)SORI,전기장비 제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)TS,,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)WH솔루션,전자부품 컴퓨터 영상 음향 및 통신장비 제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)YH데이타베이스,전문 과학 및 기술 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)가가트레이딩,,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)가경이앤씨,건설업|제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)가나건설,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)가나안식품,제조업|도매 및 소매업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)가드포유,그 밖의 모든 업종,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)가람마인드,정보통신업|기타 전문 과학 및 기술 서비스업|기타 개인 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)가람엔지니어링건축사사무소,전문 과학 및 기술 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)가람파트너스,사업 지원 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)가야고속관광,운수업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
