id,name,complex,district,eupmyeon,sector_code,sector,sector_group,product,workers_band,workers,reg_type,first_registered,mfg_area_band,address,sites,source,as_of,founded,tags
x3767,에스이노베이션스 주식회사,산단 외,달성군,,,산업용 로봇 제조업,로봇,,10~49명,10,,,,대구광역시 달성군 현풍읍 테크노중앙대로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3768,장원씨앤아이(주),산단 외,동구,,,통신ㆍ방송장비 및 부품 도매업,기계·금속,,1~9명,5,,,,대구광역시 동구 화랑로80길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3769,주영테크,산단 외,달성군,,,그 외 자동차용 신품 부품 제조업,자동차·부품,,10~49명,24,,,,대구광역시 달성군 논공읍 논공로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3770,프레쉬하루 주식회사,산단 외,수성구,,,데이터베이스 및 온라인 정보 제공업,소프트웨어·IT,,1~9명,3,,,,대구광역시 수성구 상록로16길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3771,주식회사 뉴룩스(NEWLOOKS Co. Ltd),산단 외,수성구,,,시각 디자인업,기타 서비스,,1~9명,7,,,,대구광역시 수성구 희망로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3772,주식회사엠픽(중앙점),산단 외,중구,,,그 외 기타 의복 액세서리 제조업,섬유·패션,,1~9명,3,,,,대구광역시 중구 동성로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3773,주식회사와룡인터내셔널,산단 외,남구,,,기타 비전기식 생활용 기기 및 기구 도매업,전기·전자,,1~9명,6,,,,대구광역시 남구 명덕로18길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3774,주식회사아소젠,산단 외,중구,,,섬유  의복  신발 및 가죽제품 중개업 / 목재 및 건축,섬유·패션,,1~9명,5,,,,대구광역시 중구 달성로26길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3775,바이트브릿지테크놀로지코리아유한회사,산단 외,중구,,,컴퓨터 시스템 통합 자문 및 구축 서비스업,소프트웨어·IT,,1~9명,4,,,,대구광역시 중구 동덕로40길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3776,(주)선테크에너지,산단 외,동구,,,금속 문  창  셔터 및 관련제품 제조업,기계·금속,,1~9명,8,,,,대구광역시 동구 매여로1길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3777,주식회사 더원엘리베이터,산단 외,수성구,,,기타 엔지니어링 서비스업,기타 서비스,,10~49명,12,,,,대구광역시 수성구 용학로44길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3778,주식회사 임가네푸드,산단 외,수성구,,,도시락류 제조업,기타 제조,,1~9명,5,,,,대구광역시 수성구 고산로4안길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3779,주식회사 제이앤에스에코,산단 외,서구,,,합성수지 및 기타 플라스틱 물질 제조업,화학·에너지,,1~9명,3,,,,대구광역시 서구 국채보상로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3780,주식회사 널미트,산단 외,달성군,,,육류 포장육 및 냉동육 가공업(가금류 제외),식품,,1~9명,3,,,,대구광역시 달성군 화원읍 성천로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3781,주식회사 정이엔씨,산단 외,북구,,,일반 전기 공사업,전기·전자,,1~9명,5,,,,대구광역시 북구 동변로24길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
