자료생성년월,사업장명,사업자등록번호,사업장가입상태코드,사업장도로명상세주소,사업장지번상세주소,법정동주소광역시도코드,사업장업종코드,사업장업종코드명,적용일자,재등록일자,탈퇴일자,가입자수,신규취득자수,상실가입자수
2026-07,대구광역시지체장애인협회달성군지회,514826,1,대구광역시 달성군 논공읍 논공로,대구광역시 달성군 논공읍,27,999999,BIZ_NO미존재사업장,2003-07-01,2023-01-01,,3,0,0
2026-07,(주)엠아이케이컴,503816,1,대구광역시 서구 달구벌대로,대구광역시 서구 내당동,27,672000,보험 대리 및 중개업,2003-06-01,,,9,0,0
2026-07,（주）태원전기,504815,1,대구광역시 북구 유통단지로13길,대구광역시 북구 산격동,27,515070,전기용 기계ㆍ장비 및 관련 기자재 도매업,2003-07-01,,,57,1,0
2026-07,(주)거산토건,220866,1,대구광역시 달성군 다사읍 대실역남로2길,대구광역시 달성군 다사읍,27,452101,미장  타일 및 방수 공사업,2003-08-25,,,3,0,0
2026-07,신천전설주식회사,514814,1,대구광역시 북구 검단로41길,대구광역시 북구 검단동,27,452104,배관 및 냉ㆍ난방 공사업,2003-08-10,,,5,0,0
2026-07,대구동호초등학교,502830,1,대구광역시 동구 동호로,대구광역시 동구 동호동,27,999999,BIZ_NO미존재사업장,2003-09-01,,,16,0,1
2026-07,주식회사 유성디앤에스,512810,1,대구광역시 수성구 용학로25안길,대구광역시 수성구 두산동,27,452101,미장  타일 및 방수 공사업,2003-09-01,,,15,1,2
2026-07,(주)한국안전운송(K.S.T),502811,1,대구광역시 동구 동부로22길,대구광역시 동구 신천동,27,630901,택배업,2003-07-01,,,7,0,0
2026-07,세명철강(주),503812,1,대구광역시 북구 검단공단로,대구광역시 북구 산격동,27,514220,1차 금속제품 도매업,2003-07-01,,,5,0,0
2026-07,(주)하우데크,111812,1,대구광역시 동구 동부로30길,대구광역시 동구 신천동,27,452106,도배  실내 장식 및 내장 목공사업,2003-07-01,,,9,0,0
2026-07,(주)대유기전공사,502815,1,대구광역시 수성구 무학로27길,대구광역시 수성구 지산동,27,452104,배관 및 냉ㆍ난방 공사업,2003-07-01,,,9,0,0
2026-07,(주)삼원건설,505813,1,대구광역시 서구 북비산로,대구광역시 서구 평리동,27,452102,유리 및 창호 공사업,2003-09-01,,,5,0,0
2026-07,(주) 프라임광학,504814,1,대구광역시 달서구 성서공단북로59길,대구광역시 달서구 갈산동,27,332000,안경 및 안경렌즈 제조업,2003-08-01,,,24,2,0
2026-07,(주)광명실업,502814,1,대구광역시 수성구 범안로3길,대구광역시 수성구 지산동,27,749300,건축물 일반 청소업,2003-07-01,,,4,0,0
2026-07,(주)호성상사,503815,1,대구광역시 서구 국채보상로,대구광역시 서구 중리동,27,503003,자동차 중고 부품 및 내장품 판매업,2003-09-01,,,4,0,0
2026-07,인사이트 디자인,501366,1,대구광역시 중구 달구벌대로440길,대구광역시 중구 대봉동,27,222102,스크린 인쇄업,2003-09-01,,,11,0,0
2026-07,(주)에어컨랜드,504814,1,대구광역시 중구 국채보상로150길,대구광역시 중구 동인동4가,27,513221,가전제품 및 부품 도매업,2003-09-01,,,6,0,0
2026-07,대구남구청건설과도로및하수도정비,514830,1,대구광역시 남구 이천로,대구광역시 남구 봉덕동,27,701201,비주거용 건물 임대업(점포  자기땅),2003-07-01,,,4,1,0
2026-07,열린노무법인,504851,1,대구광역시 북구 유통단지로,대구광역시 북구 산격동,27,741109,기타 법무관련 서비스업,2003-09-01,,,3,0,1
2026-07,주식회사 나래테크,504815,1,대구광역시 서구 달서천로,대구광역시 서구 비산동,27,452104,배관 및 냉ㆍ난방 공사업,2003-09-01,,,12,0,0
2026-07,(주)삼덕,502817,1,대구광역시 수성구 지산로11길,대구광역시 수성구 지산동,27,452104,배관 및 냉ㆍ난방 공사업,2003-09-22,,,5,0,1
2026-07,(주)동광무역,503813,1,대구광역시 서구 국채보상로,대구광역시 서구 이현동,27,171109,화학섬유직물 직조업,2003-09-01,,,7,0,0
2026-07,(주)시스템에어컨대구총판,503815,1,대구광역시 달서구 달구벌대로,대구광역시 달서구 이곡동,27,523321,가전제품 소매업,2003-09-01,,,5,0,0
2026-07,대구광역시자동차전문정비사업조합,514820,1,대구광역시 북구 칠곡중앙대로55길,대구광역시 북구 태전동,27,000000,해당없음,2003-09-01,,,5,0,0
2026-07,（주）해인정공,504814,1,대구광역시 북구 검단로31길,대구광역시 북구 검단동,27,343000,그 외 자동차용 신품 부품 제조업,2003-08-26,,,19,0,1
2026-07,경북대학교생활협동조합,504820,1,,대구광역시 북구 산격동,27,521991,그 외 기타 종합 소매업,2003-09-01,,,49,1,2
2026-07,상일건설(주),508811,1,대구광역시 군위군 군위읍 하곡1길,대구광역시 군위군 군위읍,27,452102,유리 및 창호 공사업,2003-08-20,,,5,0,0
2026-07,세현테크(주）,504815,1,대구광역시 수성구 용학로50길,대구광역시 수성구 지산동,27,514292,1차 금속제품 도매업,2003-09-01,,,3,0,0
2026-07,태석건설주식회사,514814,1,대구광역시 달성군 화원읍 류목정길,대구광역시 달성군 화원읍,27,452102,유리 및 창호 공사업,2003-09-01,,,5,0,0
2026-07,주식회사에스엔티,134860,1,대구광역시 달서구 성서공단로,대구광역시 달서구 월성동,27,519111,상품 종합 도매업,2003-09-24,,,8,0,0
2026-07,주식회사 디아이에스,514813,1,대구광역시 달성군 화원읍 비슬로504길,대구광역시 달성군 화원읍,27,221900,기타 인쇄물 출판업,2003-09-01,,,8,1,1
2026-07,(주)고아정공,503812,1,대구광역시 북구 유통단지로,대구광역시 북구 산격동,27,289901,금속선 가공제품 제조업,2003-09-29,,,12,0,1
2026-07,원일파템주식회사,514814,1,대구광역시 달서구 성서공단로,대구광역시 달서구 월암동,27,331300,산업 처리공정 제어장비 제조업,2003-09-01,,,12,0,1
2026-07,모스트종합건설 주식회사,409817,1,대구광역시 달성군 가창면 흥덕길,대구광역시 달성군 가창면,27,451200,기타 토목 시설물 건설업,2003-10-01,,,6,0,0
2026-07,(주)일신전기,501811,1,대구광역시 북구 검단공단로21길,대구광역시 북구 산격동,27,452104,배관 및 냉ㆍ난방 공사업,2003-07-01,,,5,0,0
2026-07,주식회사 협정스틸,503816,1,대구광역시 달성군 논공읍 논공로117길,대구광역시 달성군 논공읍,27,271201,그 외 기타 1차 철강 제조업,2003-09-01,,,4,0,0
2026-07,(주)청구자동차운전전문학원,504812,1,대구광역시 북구 검단로,대구광역시 북구 검단동,27,809011,운전학원,2003-09-01,,,5,0,0
2026-07,오무선뷰티살롱,502015,1,대구광역시 동구 동부로,대구광역시 동구 신천동,27,930203,두발 미용업,2003-09-29,,,10,1,0
2026-07,(주)진우식품,502815,1,대구광역시 동구 반야월북로2길,대구광역시 동구 율암동,27,512221,기타 산업용 농산물 도매업,2003-09-01,,,17,0,0
2026-07,(주)마이크로엔엑스,503815,1,대구광역시 동구 매여로1길,대구광역시 동구 상매동,27,331100,전기식 진단 및 요법 기기 제조업,2003-09-01,,,48,2,1
2026-07,(주)양지종합건설,503816,1,대구광역시 달서구 문화회관6길,대구광역시 달서구 장기동,27,452111,시설물 유지관리 공사업,2003-10-01,,,12,0,1
2026-07,(주)성진이엔씨,503816,1,대구광역시 남구 현충로,대구광역시 남구 대명동,27,451400,조경 건설업,2003-10-01,,,4,0,0
2026-07,대도건업(주),502817,1,대구광역시 동구 동부로,대구광역시 동구 신천동,27,452102,유리 및 창호 공사업,2003-10-01,,,5,0,0
2026-07,(주)비에스케이,504815,1,대구광역시 북구 오봉로18길,대구광역시 북구 침산동,27,271201,그 외 기타 1차 철강 제조업,2003-10-01,,,3,0,0
2026-07,(주)진우건축,503816,1,대구광역시 달서구 와룡로,대구광역시 달서구 죽전동,27,452105,도배  실내 장식 및 내장 목공사업,2003-10-01,,,4,0,0
2026-07,(주)성현섬유,504815,1,대구광역시 북구 침산로67길,대구광역시 북구 침산동,27,171109,화학섬유직물 직조업,2003-09-01,,,10,0,0
2026-07,(주)덕산,514814,1,대구광역시 달서구 성서로5길,대구광역시 달서구 대천동,27,252103,플라스틱 합성피혁 제조업,2003-09-01,,,10,0,0
2026-07,국영건설주식회사,502817,1,대구광역시 달성군 화원읍 성화로,대구광역시 달성군 화원읍,27,452108,포장 공사업,2003-10-09,,,4,0,0
2026-07,(주)건축사사무소 도시이십일,514814,1,대구광역시 수성구 달구벌대로,대구광역시 수성구 만촌동,27,742105,건축 설계 및 관련 서비스업(건축사),2003-10-01,,,24,0,0
2026-07,(주)대창건설,503816,1,대구광역시 달서구 와룡로,대구광역시 달서구 죽전동,27,452101,미장  타일 및 방수 공사업,2003-10-01,,,4,0,0
2026-07,(주)성림전기,501812,1,대구광역시 북구 유통단지로7길,대구광역시 북구 산격동,27,515070,전기용 기계ㆍ장비 및 관련 기자재 도매업,2003-10-01,,,5,0,0
2026-07,(주)에이스항공여행사,501812,1,대구광역시 중구 국채보상로,대구광역시 중구 동인동2가,27,630600,여행사업,2003-10-01,,,5,0,0
2026-07,승신환경주식회사,503816,1,대구광역시 달서구 장기로,대구광역시 달서구 장기동,27,900100,지정 외 폐기물 수집  운반업,2003-10-01,,,10,1,0
2026-07,(주)강명건설,503816,1,대구광역시 서구 달서천로,대구광역시 서구 원대동1가,27,452105,도배  실내 장식 및 내장 목공사업,2003-10-01,,,10,0,0
2026-07,(주)동일,503812,1,대구광역시 달서구 성서공단남로,대구광역시 달서구 월암동,27,514232,1차 금속제품 도매업,2003-09-01,,,31,0,1
2026-07,M병원,504960,1,대구광역시 북구 팔달로,대구광역시 북구 노원동3가,27,851101,요양병원,2003-10-01,2010-11-26,,50,2,1
2026-07,(주)SJ테크,126817,1,대구광역시 달서구 성서4차첨단로,대구광역시 달서구 대천동,27,322002,유선 통신장비 제조업,2003-10-01,,,136,1,0
2026-07,(주)거산개발,508811,1,대구광역시 달서구 장기로,대구광역시 달서구 장기동,27,451400,조경 건설업,2003-10-13,,,3,0,0
