회사명,주소,업종,사업내용,종사자수,설립연도,태그,출처,기준월
현대바이오텍 주식회사,대구 서구,제조업,섬유염색가공,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)에이티에이,대구 달서구,제조업,"서보프레스, 너트러너, 소프트웨어",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 차로보틱스,대구광역시 수성구,제조업,자율이동로봇 기반 지능형 서비스로봇 제조,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
씨티에스(주),대구광역시 달성군,제조업,초음파건식세정기,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
원오에잇,대구광역시 수성구,제조업,골프클럽,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 해브어굿타임 Have a good time,대구광역시 중구,기타,양식(피자),,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
아승테크,대구광역시 달서구,제조업,헬스기구전자부품,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
아날로그디자인 주식회사,대구광역시 수성구,연구개발서비스,환경센서응용제품,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 화신이엔브이,대구광역시 달서구,건설운수,"환경오염방지기설치, 환경전문공사업 환경관련컨설팅",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 태원이노베이션,대구광역시 수성구,정보처리S/W,sw개발및디자인,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 에이팜건강,대구광역시 달서구,제조업,쁘띠앤 외,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
서진머티리얼(주),대구광역시 서구,제조업,"섬유나염,DTP",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사거성이엔지,대구광역시 달서구,제조업,자동차자동화기계,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 세양섬유,대구광역시 달서구,제조업,섬유제품,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 퓨리언스,대구광역시 동구,제조업,반도체 장비 부품,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사케이비알,대구광역시 달성군,제조업,throttle shaft,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 파워실버,대구광역시 달서구,건설운수,친환경도료,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사리체팜,대구광역시 수성구,도소매업,의료기기 도소매,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
진심솔루션주식회사,대구광역시 수성구,기타,경영 컨설팅,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 이에스앤에이치,대구광역시 달서구,제조업,"전기차충전기, 전기차충전기 유지보수, 자동차부품, 소프트웨어 개발 등",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 필리퍼,대구광역시 북구,제조업,로봇자동화설비,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)동강테크,대구광역시 북구,제조업,자동차 부품 표면처리,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)비엘에스씨피,대구광역시 동구,제조업,재활보조기기 및 장비,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 잇츠센서,대구광역시 달성군,제조업,센서,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
오픈랩소디,대구 북구,정보처리S/W,소프트웨어 개발 외,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 엘엠엔틱바이오텍,대구광역시 달성군,연구개발서비스,"자연과학 및 공학 융합 연구개발업,생명과학 및 의학연구장비개발, 제조 및 판매업,응용 소프트웨어 개발 및 공급업,물리, 화학 및 생물학 연구개발업,의학 연구",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 클린디,대구광역시 동구,제조업,"구강의료플랫폼, 구독관련서비스, 헬스케어, 바이오제품, 구강관련제품",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)대경티이씨에이치,대구광역시 달서구,제조업,"컨베어시스템, 레일조립기",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 모나드,대구 달서구,제조업,농업용 로봇,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
한국심리 주식회사,대구광역시 동구,정보처리S/W,출판,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 에이비엠랩,대구광역시 중구,정보처리S/W,AI와 빅데이터를 통한 대학생 라이프스타일 플랫폼 (엔퍼센트),,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)크린원,대구 동구,제조업,"의약외품, 화장품",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)지오로봇,대구광역시 달성군,제조업,물류로봇,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
이큐마이크론,대구광역시 달서구,제조업,자동정밀측정기기 및 장비,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 온아웃,대구 수성구,정보처리S/W,패션데이터 기반 애드테크 플랫폼,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 노드블랙,대구 북구,정보처리S/W,사물인터넷 기술을 활용한 아파트 공동현관문 워크스루 시스템,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
동일테크,대구광역시 북구,제조업,자동화기기 제작,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주) 제이에스코리아,대구광역시 달서구,제조업,사출금형,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 엔에스그룹,대구광역시 북구,기타,"방역제품 주문조립, 포충기, 방향제",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)우성피엔에프,대구광역시 수성구,제조업,수량계보호통,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
유신정밀,대구광역시 달성군,제조업,금형 자동차 부품,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 넥사디에스,대구광역시 북구,정보처리S/W,스마트공장 솔루션,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 티앤테크,대구광역시 수성구,제조업,자동인식장비 및 관련SW,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
그리트 주식회사,대구광역시 수성구,정보처리S/W,스마트팜 솔루션,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)비젼사이언스,대구 동구,제조업,콘택트렌즈 및 의료용구,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 씨씨케이솔루션,대구광역시 북구,정보처리S/W,ACCIO,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
캐스터스,대구 중구,도소매업,화장품,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
엔시스 주식회사,대구광역시 동구,제조업,환경오염 분석 및 처리장치,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)에이치알티로보틱스,대구광역시 북구,제조업,협동로봇 자동화시스템,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
에본(주),대구광역시 서구,제조업,헬스 케어 제품 설계 및 제조,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사빅토리파크골프,대구 서구,제조업,파크골프채,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 모티버,대구광역시 수성구,정보처리S/W,"실감콘텐츠, 솔루션개발,  메타버스 콘텐츠",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 뷰,대구광역시 수성구,제조업,인테리어 목재가구 제조,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 알파필드,대구광역시 북구,정보처리S/W,비대면 진단전용 생활환경 속 건강관리 어플,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
엔앰엠 주식회사,대구광역시 수성구,제조업,"무인항공기 및 장치, 원격제어시스템, 인공지능멀티모달시스템",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
에스피 (SP) 산업,대구광역시 달성군,제조업,포장비닐,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 제로조명,대구광역시 북구,제조업,일반조명 및 엘이디조명,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 렛츠,대구광역시 수성구,기타,전시 및 공연기획,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)심도,대구광역시 달성군,건설운수,시설물 보수보강 공법 및 상수도관망 세척,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
제이슨광학,대구광역시 북구,제조업,안경테 및 선글라스,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 에스앤디인포,대구광역시 북구,정보처리S/W,소프트웨어 개발,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 테라노큐어,대구광역시 북구,제조업,의약품,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
바이오링크 주식회사,대구광역시 달서구,정보처리S/W,소프트웨어 개발 및 공급,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 착한컴퍼니,대구광역시 달서구,도소매업,물티슈,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 차트,대구광역시 동구,도소매업,미술품 거래 중개 서비스,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)삼인시스템,대구광역시 달서구,정보처리S/W,소프트웨어 및 교육컨텐츠 개발 외,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 투비스,대구광역시 동구,정보처리S/W,정보기기 인프라 종합관리 시스템,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 수연창호,대구광역시 달성군,제조업,금속제창,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
도하시스템,대구광역시 달서구,제조업,전자부품 및 장비 제조업,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 제이비엔텍,대구광역시 달서구,제조업,자동차/농기계 고무부품,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 더그릿,대구광역시 수성구,정보처리S/W,어플리케이션,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)제이앤 (J& Inc.),대구광역시 서구,제조업,건축용 플라스틱,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 자이엔,대구 북구,연구개발서비스,플라스틱분해효소,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)씨에이치소프트,대구광역시 수성구,정보처리S/W,소프트웨어,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 후니즈(HOO NEEDZ),대구광역시 달서구,제조업,생활용품 청소용품,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
경진기계주식회사,대구 달서구,제조업,"오토레버시프트, 메뉴얼레버시프트 외",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
뉴핀 주식회사,대구광역시 달서구,정보처리S/W,"웹사이트, 애플리케이션",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)제노드,대구광역시 달서구,정보처리S/W,"응용소프트웨어개발, 빅데이터자료처리업, 반응형홈페이지개발, 온라인마케팅, 데이터복구",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 에프앤제이,대구광역시 남구,제조업,소프트웨어 및 센서 장치 개발,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)에프나인시스템,대구광역시 달서구,제조업,"감속기, 오일스키머, 컨베이어",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
재성정밀주식회사,대구광역시 달서구,제조업,"정온유지장치, SMT NOZZLE",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
씨지에프(주),대구 달서구,제조업,"육류가공,식품(소스) 제조/통신판매/유통전문판매",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 트라피스,대구광역시 수성구,제조업,cctv제조,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 아스트라코팅,대구광역시 달성군,제조업,PVD 코팅,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 홈즈에이아이,대구광역시 동구,정보처리S/W,심전도 및 AI를 통한 부정맥 확인 솔루션,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 엠에이아이티,대구광역시 달서구,기타,의료용 소프트웨어 연구개발,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 엔케이어드벤스,대구광역시 수성구,제조업,저울,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
미래테크(주),대구광역시 북구,제조업,건설용 폼제품 및 연결타이,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)코트라스,대구광역시 북구,제조업,인지재활기기(CoTras),,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 로칼,대구광역시 수성구,도소매업,기존 공유주방과 다른 로칼만의 직영 클라우드 키친 운영,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)시민컴퍼니,대구광역시 달서구,제조업,큐로삼,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 브랜딩컴퍼니본,대구광역시 수성구,기타,"실내인테리어,광고대행업",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
썬아이엔디,대구광역시 북구,제조업,"파크골프용 시설용품, 파크골프 용품, 금속가구",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 클레어오디언스,대구 달서구,제조업,"기타 가정용 전기 기기 제조업,전자제품 및 가전제품,컴퓨터 프로그래밍 서비스업,전자부품연구개발,기타 공학 연구개발업",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
비더레소프트 주식회사,대구광역시 동구,정보처리S/W,어플리케이션 제작 및 공급업,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
경원산업사,대구 서구,제조업,"클러치,브레이크 부품",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
중하정밀,대구광역시 달서구,제조업,농기계 미션케이스/산업기계 파이프머신 부속품,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)디플로,대구광역시 동구,기타,"시각디자인,제품디자인,전문디자인",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 가넷덴텍,대구광역시 서구,제조업,치과교정용브라켓,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
리튼에이치앤주식회사,대구광역시 동구,제조업,"의료기기 제조 , 의약품 도매",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 이노파마,대구광역시 수성구,연구개발서비스,"바이오 의료기기, 지혈용품, 창상피복재",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 태운클린,대구광역시 달서구,기타,"시설관리, 청소, 근로자파견",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
아레텍 주식회사,대구광역시 달성군,제조업,포토마스크 생산용 자동화 설비,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 은성창호건설,대구광역시 수성구,제조업,금속제창 플라스틱창호 제작 및 시공,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 그랜시드,대구광역시 달성군,정보처리S/W,"SI, ERP, WMS",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
경진에프에이 주식회사,대구 달서구,제조업,"오토레버시프트,메뉴얼레버시프트외",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 리필,대구 달성군,연구개발서비스,이산화탄소 포집체,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 패턴앤,대구광역시 북구,정보처리S/W,업무관리 소프트웨어,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
㈜드림에이스,대구광역시 북구,정보처리S/W,차량용 소프트웨어,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 프로텍,대구 달성군,제조업,차량용부품 등,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)동방에이젯,대구광역시 북구,제조업,"조경시설물, 간판, 옥내외광고물, 휀스, 목재판재, 의자, 벤치, 파고라",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)유니테크시스템,대구광역시 달성군,제조업,수납식관람석,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
㈜에스씨솔루션글로벌,대구광역시 달성군,정보처리S/W,IoT 소프트웨어 및 하드웨어,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주) 한빛축산,대구광역시 달서구,제조업,한우 육가공,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 빈커스텀컴퍼니,대구광역시 남구,제조업,"원두커피, 시각디자인",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)시수머신,대구광역시 달성군,제조업,"철근 가공기계, 파이프 가공기계",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)오월의아침,대구광역시 달서구,기타,제빵류,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 체리,대구광역시 동구,정보처리S/W,SW,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)반도,대구광역시 달성군,제조업,"PE, PS 필름",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
㈜유니폴리,대구광역시 달서구,제조업,"O-RING,OIL-SEAL,PACKING",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
㈜신창정밀,대구광역시 북구,제조업,인터쿨러파이프,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
㈜그루나무,대구광역시 남구,제조업,제조외,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
㈜나도소프트,대구광역시 동구,정보처리S/W,보안소프트웨어개발및공급,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
"(주) 굿소프트 (GOODSOFT Co. , Ltd)",대구광역시 동구,정보처리S/W,소프트웨어,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
두원티이지 주식회사,대구광역시 달성군,제조업,SMVR 증류식 담수 및 폐수처리 장비,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
㈜마루종합식품,대구광역시 북구,제조업,가정간편식,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 위멘트,대구광역시 달성군,제조업,머시닝센터,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 더파워,대구광역시 수성구,기타,"공연기획,대행",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
㈜대한실업,대구광역시 달서구,제조업,PET분쇄품 외,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 피앤에코,대구광역시 동구,제조업,화재확산방지구조 특수방화창호 & 친환경 유해물질 차단망,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
㈜티씨엘,대구광역시 달성군,제조업,풍력발전타워 철강내장재,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 세레스테크놀로지스,대구광역시 동구,정보처리S/W,검색 엔진,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 하이커스,대구광역시 수성구,정보처리S/W,어플리케이션,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 다원메닥스,대구 동구,제조업,의료용 기기 등,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 케이아이오티,대구 북구,정보처리S/W,인공지능 영상분석 솔루션/시스템,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
㈜한국알파시스템,대구광역시 수성구,제조업,CCTV영상감시장치 外,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사전유산업,대구광역시 달서구,제조업,자동차 LED모듈,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 하이테크디젤,대구광역시 달성군,제조업,자동차부품,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)궁전방,대구광역시 달성군,제조업,떡류식품,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 우정,대구광역시 달성군,제조업,경량형 중공 엑셀샤프트,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 동영,대구광역시 달성군,제조업,LED 조명,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
동서알미늄,대구광역시 북구,제조업,알루미늄냄비,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
아포파(AFOFA),대구광역시 달서구,제조업,공장자동화제어시스템외,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
"주식회사 케이와이(KY Machinery Co.,Ltd)",대구광역시 달서구,제조업,공기압축기,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
카디브 주식회사,대구광역시 북구,제조업,자동차정비기기,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 조은이엔티,대구광역시 달성군,제조업,"자동제진기, 협잡물처리기, 압축기(플라스틱, 고철), 폐기물파쇄기, 파봉기 등",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 로진아이티,대구광역시 남구,제조업,"의료용기기 제조, 시제품제작",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
신성켐텍㈜,대구광역시 달서구,제조업,방진고무,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 정안시스템,대구 달서구,제조업,"컨베이어 장치, 물질검사 및 측정기",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
휴마니타스 주식회사,대구광역시 달성군,정보처리S/W,"소프트웨어 개발,공급,병원솔루션 개발/레이더,항행용무선기기,측량기구 제조/컴퓨터 프로그래밍",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 에프와이,대구광역시 북구,제조업,유아용품,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
에프에스테크,대구광역시 북구,제조업,자동차 부품및 각종 산업부품,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
